ID,MEDV
0,19.943320
1,19.737854
2,24.226306
3,19.864226
4,21.189302
5,20.418600
6,17.496842
7,17.939770
8,18.289232
9,24.682904
10,23.387654
11,20.408829
12,21.641421
13,23.598193
14,20.145969
15,18.560682
16,20.876584
17,19.383790
18,18.562559
19,23.078729
20,21.765327
21,23.157400
22,17.622171
23,22.576146
24,20.532339
25,23.775692
26,22.696695
27,21.669661
28,20.998037
29,18.379796
30,22.342429
31,17.477030
32,22.524787
33,17.275423
34,16.906450
35,18.305970
36,23.859686
37,20.546035
38,25.530284
39,18.489178
40,24.075211
41,26.179517
42,24.271144
43,23.183255
44,23.105845
45,24.190554
46,24.967187
47,20.135145
48,17.140447
49,16.988455
50,18.695453
51,16.961401
52,22.078945
53,24.368345
54,19.039459
55,18.356537
56,23.374690
57,21.995270
58,23.285670
59,22.535325
60,21.065923
61,13.199981
62,17.681248
63,19.681513
64,23.148111
65,21.731068
66,22.824454
67,13.261751
68,20.237878
69,23.966693
70,23.784240
71,22.642211
72,21.371814
73,23.573589
74,21.100562
75,22.898014
76,20.132402
77,20.347541
78,19.916805
79,19.621054
80,24.176959
81,19.326280
82,19.394317
83,22.525799
84,18.611643
85,22.724058
86,24.522797
87,24.038301
88,22.442449
89,18.602014
90,23.235691
91,21.084695
92,22.858151
93,21.037730
94,19.520503
95,22.953816
96,22.795108
97,20.359370
98,16.938375
99,21.690692
100,18.836498
101,23.089623
102,19.228717
103,19.679152
104,22.885660
