ID,MEDV
0,20.109922
1,19.829968
2,25.183882
3,19.650340
4,22.006773
5,20.901283
6,17.011339
7,18.412476
8,18.428052
9,24.654226
10,24.255402
11,20.520555
12,22.152125
13,23.022402
14,20.239358
15,18.616085
16,21.007166
17,19.521486
18,18.469793
19,22.582943
20,22.148721
21,22.647349
22,17.459855
23,22.500531
24,20.948901
25,25.114502
26,22.410938
27,22.210492
28,21.077647
29,17.934076
30,22.299544
31,16.950023
32,22.174168
33,17.060038
34,17.010481
35,18.127310
36,23.999364
37,20.339119
38,26.216306
39,18.046756
40,24.144514
41,25.671827
42,24.546402
43,22.520615
44,22.535303
45,24.146769
46,24.641054
47,20.234703
48,16.947170
49,16.765737
50,18.761690
51,16.958219
52,22.402676
53,24.002020
54,19.125035
55,18.090289
56,23.917885
57,22.654144
58,23.252689
59,22.206841
60,20.986009
61,13.282923
62,17.639167
63,19.747183
64,22.913532
65,22.043119
66,22.941425
67,13.420624
68,20.122234
69,23.489210
70,23.327354
71,22.668274
72,21.813058
73,24.741295
74,21.246714
75,22.813840
76,20.054570
77,20.696803
78,20.377601
79,19.865626
80,24.139641
81,19.473286
82,19.454501
83,22.576896
84,18.342267
85,22.583636
86,23.709421
87,24.631650
88,22.785181
89,18.390122
90,23.360549
91,21.039271
92,23.332581
93,21.020327
94,19.755643
95,23.466045
96,22.824698
97,20.147895
98,16.609756
99,22.537768
100,18.561209
101,22.870243
102,19.410119
103,19.546173
104,24.055542
