ID,MEDV
0,20.057980
1,19.806744
2,24.902705
3,19.681491
4,21.774859
5,20.739361
6,17.159733
7,18.260981
8,18.368447
9,24.703004
10,23.961205
11,20.522811
12,21.974955
13,23.144530
14,20.191359
15,18.613163
16,20.944422
17,19.491006
18,18.527971
19,22.718227
20,22.036787
21,22.757945
22,17.568326
23,22.529263
24,20.804780
25,24.841293
26,22.471101
27,22.043188
28,21.082277
29,18.115664
30,22.277790
31,17.133577
32,22.255780
33,17.127336
34,16.979139
35,18.215507
36,23.951826
37,20.387505
38,25.896790
39,18.204437
40,24.059962
41,25.891045
42,24.449231
43,22.701287
44,22.763207
45,24.128977
46,24.691473
47,20.191748
48,17.028773
49,16.858377
50,18.742244
51,16.933485
52,22.284328
53,24.280911
54,19.059194
55,18.152956
56,23.754607
57,22.407235
58,23.213226
59,22.264128
60,20.986491
61,13.253649
62,17.649750
63,19.725105
64,22.967836
65,21.918752
66,22.849437
67,13.376311
68,20.144626
69,23.668592
70,23.444561
71,22.678845
72,21.698978
73,24.384232
74,21.186833
75,22.793246
76,20.053742
77,20.584556
78,20.251526
79,19.772619
80,24.145731
81,19.346581
82,19.454432
83,22.585164
84,18.433354
85,22.567205
86,23.947897
87,24.426578
88,22.610656
89,18.471127
90,23.241368
91,21.043809
92,23.125815
93,21.041023
94,19.702360
95,23.289993
96,22.799203
97,20.271177
98,16.688144
99,22.230991
100,18.658252
101,22.924993
102,19.364950
103,19.603369
104,23.822599
