ID,MEDV
0,19.821497
1,19.691686
2,23.323079
3,20.110583
4,20.383266
5,20.352011
6,17.560500
7,17.420108
8,17.958619
9,24.892654
10,23.466034
11,19.960635
12,21.599931
13,24.259197
14,19.996982
15,18.159470
16,21.349884
17,19.119162
18,18.587074
19,23.448705
20,21.473017
21,23.844286
22,17.182564
23,22.605059
24,20.510512
25,22.617826
26,22.791762
27,21.626604
28,20.877870
29,18.491324
30,22.572439
31,17.506789
32,22.710793
33,17.243110
34,16.392444
35,18.038309
36,24.094525
37,20.956829
38,26.106149
39,18.315640
40,24.116587
41,26.674447
42,24.925749
43,23.762047
44,23.168501
45,25.076903
46,25.506512
47,20.225902
48,16.898011
49,16.738377
50,18.534060
51,16.593519
52,22.227566
53,24.392894
54,19.000234
55,18.715832
56,23.541763
57,21.268428
58,23.299919
59,22.775597
60,21.710062
61,12.336086
62,17.251609
63,19.516638
64,23.551469
65,21.521505
66,22.625254
67,12.265956
68,20.585240
69,24.208092
70,24.286167
71,22.566117
72,21.119283
73,22.512358
74,21.391534
75,22.980333
76,20.319743
77,20.015656
78,19.414776
79,19.426499
80,24.620675
81,19.137271
82,18.899207
83,22.737767
84,18.972899
85,23.454598
86,25.425250
87,24.555639
88,22.051023
89,18.835132
90,23.093226
91,21.655088
92,22.405450
93,21.161069
94,19.400963
95,23.487996
96,22.983364
97,20.196491
98,16.852188
99,21.811945
100,18.678141
101,23.317617
102,18.835682
103,19.525656
104,21.814028
